SMILES,with_star,no_star,num_star,ring_count,logP,TPSA,HBD,HBA
C1=NC=CC([1*])=C1[2*],C1=NC=CC([1*])=C1[2*],C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC=C([1*])C=C1,C1=NC=C([1*])C=C1,C1=NC=CC=C1,1,1,1.1407,12.36,0,1
C1=NC=C([1*])C=C1[2*],C1=NC=C([1*])C=C1[2*],C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC=C([1*])C([2*])=C1,C1=NC=C([1*])C([2*])=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC=C([1*])C([2*])=C1[3*],C1=NC=C([1*])C([2*])=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
C1=NC([1*])=CC=C1,C1=NC([1*])=CC=C1,C1=NC=CC=C1,1,1,1.1407,12.36,0,1
C1=NC([1*])=CC=C1[2*],C1=NC([1*])=CC=C1[2*],C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC([1*])=CC([2*])=C1,C1=NC([1*])=CC([2*])=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC([1*])=CC([2*])=C1[3*],C1=NC([1*])=CC([2*])=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
C1=NC([1*])=C([2*])C=C1,C1=NC([1*])=C([2*])C=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
C1=NC([1*])=C([2*])C=C1[3*],C1=NC([1*])=C([2*])C=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
C1=NC([1*])=C([2*])C([3*])=C1,C1=NC([1*])=C([2*])C([3*])=C1,C1=NC=CC=C1,3,1,1.1407,12.36,0,1
C1=NC([1*])=C([2*])C([3*])=C1[4*],C1=NC([1*])=C([2*])C([3*])=C1[4*],C1=NC=CC=C1,4,1,1.1407,12.36,0,1
[1*]C1=NC=CC=C1,[1*]C1=NC=CC=C1,C1=NC=CC=C1,1,1,1.1407,12.36,0,1
[1*]C1=NC=CC=C1[2*],[1*]C1=NC=CC=C1[2*],C1=NC=CC=C1,2,1,1.1407,12.36,0,1
[1*]C1=NC=CC([2*])=C1,[1*]C1=NC=CC([2*])=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
[1*]C1=NC=CC([2*])=C1[3*],[1*]C1=NC=CC([2*])=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
[1*]C1=NC=C([2*])C=C1,[1*]C1=NC=C([2*])C=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
[1*]C1=NC=C([2*])C=C1[3*],[1*]C1=NC=C([2*])C=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
[1*]C1=NC=C([2*])C([3*])=C1,[1*]C1=NC=C([2*])C([3*])=C1,C1=NC=CC=C1,3,1,1.1407,12.36,0,1
[1*]C1=NC=C([2*])C([3*])=C1[4*],[1*]C1=NC=C([2*])C([3*])=C1[4*],C1=NC=CC=C1,4,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=CC=C1,[1*]C1=NC([2*])=CC=C1,C1=NC=CC=C1,2,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=CC=C1[3*],[1*]C1=NC([2*])=CC=C1[3*],C1=NC=CC=C1,3,1,1.1407,12.36,0,1
[1*]C1=NC([2*])=CC([3*])=C1,[1*]C1=NC([2*])=CC([3*])=C1,C1=NC=CC=C1,3,1,1.1407,12.36,0,1
